Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
L1,TEMT6000,TEMT6000-SMD,100.0,-44.0,180.0,bottom
L2,TEMT6000,TEMT6000-SMD,131.3875,-45.245144,210.0,bottom
L3,TEMT6000,TEMT6000-SMD,154.365144,-68.3875,240.0,bottom
L4,TEMT6000,TEMT6000-SMD,163.0,-100.0,270.0,bottom
L5,TEMT6000,TEMT6000-SMD,154.754855,-131.3875,300.0,bottom
L6,TEMT6000,TEMT6000-SMD,131.6125,-154.365144,330.0,bottom
L7,TEMT6000,TEMT6000-SMD,100.0,-163.0,180.0,bottom
L8,TEMT6000,TEMT6000-SMD,68.3875,-154.365144,210.0,bottom
L9,TEMT6000,TEMT6000-SMD,45.245144,-131.3875,240.0,bottom
L10,TEMT6000,TEMT6000-SMD,37.0,-100.0,270.0,bottom
L11,TEMT6000,TEMT6000-SMD,45.634855,-68.3875,300.0,bottom
L12,TEMT6000,TEMT6000-SMD,68.6125,-45.245144,330.0,bottom
R1,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,100.0,-46.736,180.0,bottom
R2,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,133.037195,-49.6805,90.0,bottom
R3,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,155.4475,-73.66,90.0,bottom
R4,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,163.0,-105.0525,90.0,bottom
R5,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,153.67125,-136.8025,90.0,bottom
R6,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,127.0,-156.36,270.0,bottom
R7,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,100.0,-158.75,180.0,bottom
R8,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,73.0,-156.36,270.0,bottom
R9,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,46.33,-136.8025,90.0,bottom
R10,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,37.0,-105.0525,90.0,bottom
R11,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,44.5525,-73.66,90.0,bottom
R12,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,66.962805,-49.6805,90.0,bottom
